id_tempo,data,ano_adicao,mes_adicao,nome_mes
570,2018-03-07,2018,3,March
571,2018-03-08,2018,3,March
572,2018-03-09,2018,3,March
573,2018-03-10,2018,3,March
574,2018-03-11,2018,3,March
575,2018-03-12,2018,3,March
576,2018-03-13,2018,3,March
577,2018-03-14,2018,3,March
578,2018-03-15,2018,3,March
579,2018-03-16,2018,3,March
580,2018-03-19,2018,3,March
581,2018-03-20,2018,3,March
582,2018-03-21,2018,3,March
583,2018-03-23,2018,3,March
584,2018-03-24,2018,3,March
585,2018-03-26,2018,3,March
586,2018-03-27,2018,3,March
587,2018-03-28,2018,3,March
588,2018-03-29,2018,3,March
589,2018-03-30,2018,3,March
590,2018-03-31,2018,3,March
591,2018-04-01,2018,4,April
592,2018-04-02,2018,4,April
593,2018-04-03,2018,4,April
594,2018-04-04,2018,4,April
595,2018-04-05,2018,4,April
596,2018-04-06,2018,4,April
597,2018-04-07,2018,4,April
598,2018-04-09,2018,4,April
599,2018-04-10,2018,4,April
600,2018-04-12,2018,4,April
601,2018-04-13,2018,4,April
602,2018-04-14,2018,4,April
603,2018-04-15,2018,4,April
604,2018-04-16,2018,4,April
605,2018-04-17,2018,4,April
606,2018-04-18,2018,4,April
607,2018-04-19,2018,4,April
608,2018-04-20,2018,4,April
609,2018-04-24,2018,4,April
610,2018-04-25,2018,4,April
611,2018-04-26,2018,4,April
612,2018-04-27,2018,4,April
613,2018-04-30,2018,4,April
614,2018-05-01,2018,5,May
615,2018-05-02,2018,5,May
616,2018-05-03,2018,5,May
617,2018-05-04,2018,5,May
618,2018-05-05,2018,5,May
619,2018-05-07,2018,5,May
620,2018-05-08,2018,5,May
621,2018-05-11,2018,5,May
622,2018-05-12,2018,5,May
623,2018-05-13,2018,5,May
624,2018-05-15,2018,5,May
625,2018-05-16,2018,5,May
626,2018-05-17,2018,5,May
627,2018-05-18,2018,5,May
628,2018-05-19,2018,5,May
629,2018-05-22,2018,5,May
630,2018-05-24,2018,5,May
631,2018-05-25,2018,5,May
632,2018-05-26,2018,5,May
633,2018-05-27,2018,5,May
634,2018-05-29,2018,5,May
635,2018-05-30,2018,5,May
636,2018-05-31,2018,5,May
637,2018-06-01,2018,6,June
638,2018-06-02,2018,6,June
639,2018-06-04,2018,6,June
640,2018-06-05,2018,6,June
641,2018-06-07,2018,6,June
642,2018-06-08,2018,6,June
643,2018-06-12,2018,6,June
644,2018-06-14,2018,6,June
645,2018-06-15,2018,6,June
646,2018-06-18,2018,6,June
647,2018-06-19,2018,6,June
648,2018-06-20,2018,6,June
649,2018-06-22,2018,6,June
650,2018-06-23,2018,6,June
651,2018-06-24,2018,6,June
652,2018-06-25,2018,6,June
653,2018-06-26,2018,6,June
654,2018-06-27,2018,6,June
655,2018-06-28,2018,6,June
656,2018-06-29,2018,6,June
657,2018-06-30,2018,6,June
658,2018-07-01,2018,7,July
659,2018-07-02,2018,7,July
660,2018-07-03,2018,7,July
661,2018-07-04,2018,7,July
662,2018-07-05,2018,7,July
663,2018-07-06,2018,7,July
664,2018-07-08,2018,7,July
665,2018-07-10,2018,7,July
666,2018-07-11,2018,7,July
667,2018-07-13,2018,7,July
668,2018-07-14,2018,7,July
669,2018-07-15,2018,7,July
670,2018-07-17,2018,7,July
671,2018-07-18,2018,7,July
672,2018-07-19,2018,7,July
673,2018-07-20,2018,7,July
674,2018-07-21,2018,7,July
675,2018-07-22,2018,7,July
676,2018-07-23,2018,7,July
677,2018-07-24,2018,7,July
678,2018-07-25,2018,7,July
679,2018-07-26,2018,7,July
680,2018-07-27,2018,7,July
681,2018-07-28,2018,7,July
682,2018-07-29,2018,7,July
683,2018-07-30,2018,7,July
684,2018-07-31,2018,7,July
685,2018-08-01,2018,8,August
686,2018-08-02,2018,8,August
687,2018-08-03,2018,8,August
688,2018-08-04,2018,8,August
689,2018-08-05,2018,8,August
690,2018-08-08,2018,8,August
691,2018-08-09,2018,8,August
692,2018-08-10,2018,8,August
693,2018-08-13,2018,8,August
694,2018-08-15,2018,8,August
695,2018-08-16,2018,8,August
696,2018-08-17,2018,8,August
697,2018-08-18,2018,8,August
698,2018-08-19,2018,8,August
699,2018-08-20,2018,8,August
700,2018-08-21,2018,8,August
701,2018-08-23,2018,8,August
702,2018-08-24,2018,8,August
703,2018-08-25,2018,8,August
704,2018-08-26,2018,8,August
705,2018-08-27,2018,8,August
706,2018-08-28,2018,8,August
707,2018-08-29,2018,8,August
708,2018-08-30,2018,8,August
709,2018-08-31,2018,8,August
710,2018-09-01,2018,9,September
711,2018-09-02,2018,9,September
712,2018-09-03,2018,9,September
713,2018-09-04,2018,9,September
714,2018-09-05,2018,9,September
715,2018-09-06,2018,9,September
716,2018-09-07,2018,9,September
717,2018-09-08,2018,9,September
718,2018-09-09,2018,9,September
719,2018-09-11,2018,9,September
720,2018-09-12,2018,9,September
721,2018-09-13,2018,9,September
722,2018-09-14,2018,9,September
723,2018-09-15,2018,9,September
724,2018-09-16,2018,9,September
725,2018-09-17,2018,9,September
726,2018-09-18,2018,9,September
727,2018-09-19,2018,9,September
728,2018-09-20,2018,9,September
729,2018-09-21,2018,9,September
730,2018-09-22,2018,9,September
731,2018-09-24,2018,9,September
732,2018-09-25,2018,9,September
733,2018-09-26,2018,9,September
734,2018-09-27,2018,9,September
735,2018-09-28,2018,9,September
736,2018-09-29,2018,9,September
737,2018-09-30,2018,9,September
738,2018-10-01,2018,10,October
739,2018-10-02,2018,10,October
740,2018-10-03,2018,10,October
741,2018-10-04,2018,10,October
742,2018-10-05,2018,10,October
743,2018-10-06,2018,10,October
744,2018-10-08,2018,10,October
745,2018-10-09,2018,10,October
746,2018-10-10,2018,10,October
747,2018-10-11,2018,10,October
748,2018-10-12,2018,10,October
749,2018-10-13,2018,10,October
750,2018-10-15,2018,10,October
751,2018-10-16,2018,10,October
752,2018-10-17,2018,10,October
753,2018-10-18,2018,10,October
754,2018-10-19,2018,10,October
755,2018-10-20,2018,10,October
756,2018-10-21,2018,10,October
757,2018-10-22,2018,10,October
758,2018-10-23,2018,10,October
759,2018-10-24,2018,10,October
760,2018-10-25,2018,10,October
761,2018-10-26,2018,10,October
762,2018-10-27,2018,10,October
763,2018-10-28,2018,10,October
764,2018-10-29,2018,10,October
765,2018-10-30,2018,10,October
766,2018-10-31,2018,10,October
767,2018-11-01,2018,11,November
768,2018-11-02,2018,11,November
769,2018-11-03,2018,11,November
